goodsNo,name,cat1,cat2,cat3,brand,imgUrl,price,ratingCnt,rating,capacity,mainPoint,useDate,howUse,material,link,feature1,feature2,feature3,skinTypeDry,skinTypeCombination,skinTypeOily,skinConcernsMoisturizing,skinConcernsSoothing,skinConcernsWrinkleWhitening,stimulationMild,stimulationCommon,stimulationHard
A000000180474,[3월 올영픽/단독기획] 토리든 다이브인 저분자 히알루론산 토너 500ml 기획 (+화장솜 60매 증정),스킨케어,스킨/토너,스킨/토너,토리든,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0018/A00000018047405ko.jpg?l=ko,"18,810",8847,4.8,[본품] 다이브인 토너 500ml [증정] 화장솜 60매,모든 피부 타입,제조일로부터 3년,세안 후 화장솜 혹은 손에 적당량을 덜어 피부결을 따라 부드럽게 흡수시켜 줍니다.,"1. 다이브인 저분자 히알루론산 토너 500ml (본품)
정제수, 부틸렌글라이콜, 다이프로필렌글라이콜, 1,2-헥산다이올, 글리세린, 베타인, 알란토인, 판테놀, 쇠비름추출물, 트레할로오스, 소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드(100ppm), 소듐하이알루로네이트크로스폴리머, 하이드롤라이즈드소듐하이알루로네이트, 소듐아세틸레이티드하이알루로네이트, 2,3-부탄다이올, 펜틸렌글라이콜, 말라카이트추출물, 다이소듐이디티에이, 에틸헥실글리세린",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000180474&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=1,피부타입,피부고민,자극도,33%,54%,13%,59%,41%,1%,75%,25%,1%
A000000174370,바이오더마 하이드라비오 토너 500ml,스킨케어,스킨/토너,스킨/토너,바이오더마,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017437008ko.jpg?l=ko,"25,000",8079,4.8,500ml,"수분 부족, 건성 피부 및 모든 피부","제조일로부터 3년 이내의 상품을 순차적으로 발송, 개봉 후 6개월",세안 후 화장솜에 적당량을 덜어 피부에 부드럽게 패딩해 줍니다.,"정제수, 글리세린, 폴리솔베이트20, 다이소듐이디티에이, 세트리모늄브로마이드, 향료, 나이아신아마이드, 자일리톨, 알란토인, 프룩토올리고사카라이드, 만니톨, 헥실데칸올, 소듐하이드록사이드, 시트릭애씨드, 람노오스, 사과씨추출물, 유채스테롤, 토코페롤",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000174370&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=2,피부타입,피부고민,자극도,37%,52%,11%,70%,30%,1%,76%,22%,2%
A000000200571,[1+1+키링] 라운드랩 1025 독도 토너 300ml 1+1 기획 (+아무로키 키링 1종),스킨케어,스킨/토너,스킨/토너,라운드랩,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0020/A00000020057107ko.jpg?l=ko,"29,600",36043,4.8,[본품]라운드랩 1025 독도 토너 300ml*2ea+[증정품] 해달이 or 수달이 키링 1ea,모든 피부용,"제조일로부터 36개월, 개봉 후 12개월 이내 사용","세안 후 적당량을 덜어 화장솜에 충분히 적신 뒤, 피부결을 따라 부드럽게 닦아내어 피부를 정돈시켜줍니다.","정제수, 부틸렌글라이콜, 글리세린, 펜틸렌글라이콜, 프로판다이올, 아이리쉬모스추출물, 사탕수수추출물, 해수, 1,2-헥산다이올, 프로테아제, 베타인, 판테놀, 에틸헥실글리세린, 알란토인, 잔탄검, 다이소듐이디티에이",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000200571&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=3,피부타입,피부고민,자극도,25%,62%,13%,51%,49%,1%,80%,20%,1%
A000000166675,[2023어워즈] 아누아 어성초 77 수딩 토너 350ml 리필 기획세트(350ml+350ml리필),스킨케어,스킨/토너,스킨/토너,아누아,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0016/A00000016667508ko.jpg?l=ko,"34,000",13466,4.8,본품 350ml + 리필팩 350ml,모든 피부 사용,제조일자로 부터 30개월 / 개봉 후 12개월,적당량을 덜어 피부에 골고루 펴 발라줍니다,"약모밀추출물(77%), 정제수, 1,2-헥산다이올, 글리세린, 베타인, 병풀추출물, 체이스트트리추출물, 우엉뿌리추출물, 진흙버섯추출물, 쇠비름추출물, 포도추출물, 사과추출물, 사탕수수추출물, 판테놀, 마트리카리아꽃추출물, 소듐하이알루로네이트, 하이드록시프로필트라이모늄하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트, 하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 포타슘하이알루로네이트, 메틸프로판다이올, 부틸렌글라이콜, 아이소펜틸다이올, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 다이소듐이디티에이",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000166675&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=4,피부타입,피부고민,자극도,20%,60%,20%,23%,77%,1%,76%,24%,1%
A000000190280,[한정기획] 라네즈 크림스킨 170ml 리필 기획 (+170ml 리필),스킨케어,스킨/토너,스킨/토너,라네즈,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0019/A00000019028022ko.jpg?l=ko,"33,000",7240,4.8,170ml (+170ml 증정),모든피부,"제조일로부터 36개월, 개봉 후 12개월 이내 사용","1. 기본 사용법: 아침, 저녁 스킨 사용 단계에서 적당량을 손에 덜어 피부 속부터 채워주듯이 두드리며 흡수시켜줍니다.
2. 보습 스킨팩으로 호라용: 크림 스킨을 화장솜에 적셔 보습 스킨팩으로 활용해보세요.","정제수, 부틸렌글라이콜, 글리세린, 메도우폼씨오일, 아이소펜틸다이올, 1,2-헥산다이올, 스쿠알란, 폴리글리세릴-10스테아레이트, 글리세릴스테아레이트시트레이트, 소듐스테아로일글루타메이트, 이눌린라우릴카바메이트, 글리세릴카프릴레이트, 에틸헥실글리세린, 프로판다이올, 다이소듐이디티에이, 카보머, 만니톨, 아크릴레이트/스테아릴메타크릴레이트코폴리머, 흰목이버섯포자낭과추출물, 하이알루로닉애씨드, 녹차추출물, 잔탄검, 세라마이드엔피, 동백나무꽃추출물, 토코페롤, 아세틸테트라펩타이드-11",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000190280&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=5,피부타입,피부고민,자극도,61%,36%,3%,85%,15%,0%,79%,21%,1%
A000000161355,[화해1위] 에스네이처 아쿠아 오아시스 토너 300ml 기획(+ 수분크림30ml증정),스킨케어,스킨/토너,스킨/토너,에스네이처,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0016/A00000016135524ko.jpg?l=ko,"18,900",1752,4.8,"토너 300ml, 크림 30ml",모든 피부용,"제조일로부터 1,095일","* 닦아내는 토너로 사용 시 : 화장솜에 적당량을 적셔 얼굴 안쪽에서 바깥쪽으로 부드럽게 닦아 피부결 정돈을 해줍니다.
* 보습 토너로 사용 시: 손바닥에 적당량을 덜어내어 얼굴에 부드럽게 흡수시켜주면, 산뜻한 수분감을 느낄 수 있습니다.","아쿠아 오아시스 토너 300ml : 정제수, 다이프로필렌글라이콜, 부틸렌글라이콜, 글리세린, 1,2- 헥산다이올, 베타인, 판테놀, 알란토인, 파파야열매추출물, 글루코노락톤, 자일리틸글루코사이드, 안하이드로자일리톨, 자일리톨, 소듐하이알루로네이트, 글루코오스, 파파인, 하이드록시프로필트라이모늄하이알루로네이트, 소듐아세틸레이티드하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 하이알루로닉애씨드, 하이드롤라이즈드소듐하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 포타슘하이알루로네이트, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, 피브이엠/엠에이코폴리머

아쿠아 스쿠알란 수분크림 30ml (증정품): 정제수, 스쿠알란(150,000ppm), 글리세린, 1,2-헥산다이올, 베타인, 판테놀, 소듐하이알루로네이트, 하이드롤라이즈드콜라겐, 하이드록시프로필트라이모늄하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트, 아세틸헥사펩타이드-8, 아데노신, 하이알루로닉애씨드, 하이드롤라이즈드소듐하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 포타슘하이알루로네이트, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 알지닌, 알란토인, 자일리틸글루코사이드, 안하이드로자일리톨, 자일리톨, 글루코오스, 부틸렌글라이콜, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 카프릴릴글라이콜",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000161355&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=6,피부타입,피부고민,자극도,31%,60%,9%,66%,34%,1%,77%,23%,1%
A000000163510,비욘드 엔젤아쿠아 수분 진정 토너 500ml (비건),스킨케어,스킨/토너,스킨/토너,비욘드,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0016/A00000016351008ko.jpg?l=ko,"10,900",2049,4.8,500ml,모든피부용,"개봉전 제조일로부터 36개월, 유통기한 개봉후 9개월",세안 후 화장솜에 충분히 적셔 얼굴 안쪽에서 바깥쪽으로 피부결에 따라 부드럽게 닦아내어 줍니다.,"정제수, 다이프로필렌글라이콜, 부틸렌글라이콜, 1,2-헥산다이올, 프로판다이올, 폴리글리세릴-4카프레이트, 글리세린, 판테놀, 알란토인, 트레할로오스, 소듐하이알루로네이트, 마데카소사이드, 베타-글루칸, 하이드롤라이즈드하이알루로닉애씨드, 레몬껍질오일, 베르가모트오일, 오렌지껍질오일, 멕시칸주니퍼오일, 라임전초오일, 포도덩굴수액, 전호추출물, 병풀추출물, 가시대나무수액, 자작나무수액, 하늘타리뿌리추출물, 녹차추출물, 호장근뿌리추출물, 황금추출물, 개똥쑥추출물, 님잎추출물, 스페인감초뿌리추출물, 마트리카리아꽃추출물, 로즈마리잎추출물, 소듐폴리아크릴레이트, 소듐시트레이트, 시트릭애씨드, 트라이소듐이디티에이, 리모넨, 리날룰, 시트랄",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000163510&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=7,피부타입,피부고민,자극도,24%,61%,15%,44%,56%,1%,67%,31%,2%
A000000132162,라운드랩 1025 독도 토너 (본품200ml+50ml 추가 증정),스킨케어,스킨/토너,스킨/토너,라운드랩,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0013/A00000013216224ko.jpg?l=ko,"13,500",16165,4.7,[본품] 1025 독도 토너 200ml + [증정품] 1025 독도 토너 50ml,모든 피부용,"제조일로부터 36개월, 개봉 후 12개월 이내 사용","세안 후 적당량을 덜어 화장솜에 충분히 적신 뒤, 피부결을 따라 부드럽게 닦아내어 피부를 정돈시켜줍니다.","정제수, 부틸렌글라이콜, 글리세린, 펜틸렌글라이콜, 프로판다이올, 아이리쉬모스추출물, 사탕수수추출물, 해수, 1,2-헥산다이올, 프로테아제, 베타인, 판테놀, 에틸헥실글리세린, 알란토인, 잔탄검, 다이소듐이디티에이",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000132162&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=8,피부타입,피부고민,자극도,24%,60%,16%,41%,59%,1%,79%,21%,1%
A000000189488,[리뉴업] 더랩바이블랑두 저분자 히알루론산 딥 토너 200ml + 50ml 기획,스킨케어,스킨/토너,스킨/토너,더랩바이블랑두,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0018/A00000018948809ko.jpg?l=ko,"15,990",1286,4.8,200 ml + 50 ml,모든 피부용,개봉 후 1년/ 제조일로부터 3년,적당량을 손에 덜어 피부결을 따라 발라주고 손 끝으로 가볍게 두드려 흡수시켜 줍니다. TIP : 화장솜에 듬뿍 묻혀 건조한 피부에 올려두고 속보습 집중 케어로 활용할 수 있습니다.,"정제수, 부틸렌글라이콜, 1,2-헥산다이올, 글리세린, 베타-글루칸, 베타인, 소듐하이알루로네이트(2,700 ppm), 판테놀, 솔비톨, 아세틸글루코사민, 글루쿠로닉애씨드, 알란토인, 토코페롤, 에틸헥실글리세린, 다이소듐이디티에이",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000189488&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=9,피부타입,피부고민,자극도,33%,56%,12%,66%,34%,1%,77%,23%,1%
A000000154177,[증량] 닥터지 레드 블레미쉬 클리어 수딩 토너 500ml,스킨케어,스킨/토너,스킨/토너,닥터지,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015417707ko.jpg?l=ko,"29,900",3188,4.8,토너 500ml,모든 피부 / 민감 피부,30개월(개봉 후 12개월 이내 사용을 권장드립니다),"스킨케어 첫 단계에서 화장솜에 내용물을 충분히 취해 피부결을 따라 부드럽게 닦아낸 후, 남은 내용물을 톡톡 두드려 흡수시켜 줍니다","정제수, 다이프로필렌글라이콜, 프로판다이올, 펜틸렌글라이콜, 나이아신아마이드, 부틸렌글라이콜, 글리세린, 쇠비름추출물, 병풀추출물, 무화과추출물, 흰버드나무껍질추출물, 사탕수수추출물, 사과추출물, 케이프알로에잎추출물, 하이드로제네이티드레시틴, 판테놀, 라피노오스, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 다이소듐이디티에이, 베타인, 베타-글루칸, 마데카소사이드, 세라마이드엔피, 마데카식애씨드, 아시아티코사이드, 아시아틱애씨드, 에틸헥실글리세린, 1,2-헥산다이올, 카프릴릴글라이콜",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000154177&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=10,피부타입,피부고민,자극도,20%,63%,17%,32%,68%,1%,74%,26%,1%
A000000104007,아벤느 젠틀 토닝 로션 (본품200ml+100ml 추가 증정),스킨케어,스킨/토너,스킨/토너,아벤느,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0010/A00000010400726ko.jpg?l=ko,"29,000",3944,4.7,200ml +100ml,모든피부타입,"개봉전 3년, 개봉 후 1년이내 사용권장",사용 전에 바닥에 깔려있는 실리카가 잘 섞이도록 잘 흔들어 준 후 화장솜에 덜어 발라주세요.,"아벤느온천수(아쿠아), 향료, 하이드로제네이티드스타치하이드롤리세이트, 피이지-7글리세릴코코에이트, 페녹시에탄올, 스테아랄코늄헥토라이트, 트리소듐이디티에이, 정제수",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000104007&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=11,피부타입,피부고민,자극도,25%,61%,14%,29%,71%,1%,75%,23%,2%
A000000190395,[피지진정]넘버즈인 1번 진정 맑게담은 청초토너 300ml 리필기획(+300ml 증정),스킨케어,스킨/토너,스킨/토너,넘버즈인,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0019/A00000019039509ko.jpg?l=ko,"28,000",6405,4.8,[본품] 300ml / [리필] 300ml,모든 피부 용,[본품] 제조일로부터 36개월 / 개봉 후 12개월 이내 사용,"세안 후 적당량을 화장솜에 적셔 얼굴 피부 결을 따라 안쪽에서 바깥쪽으로 닦아내거나, 손에 덜어 피부에 흡수시켜줍니다.","정제수, 1,2-헥산다이올, 다이프로필렌글라이콜, 프로판다이올, 부틸렌글라이콜, 글리세린, 감초뿌리추출물, 약모밀추출물, 카보머, 병풀추출물, 하이드록시에틸셀룰로오스, 알지닌, 알란토인, 다이소듐이디티에이, 하수오전초추출물, 베타인, 히아신스전초추출물, 판테놀, 알바수련꽃추출물",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000190395&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=12,피부타입,피부고민,자극도,19%,57%,25%,22%,78%,0%,77%,23%,0%
A000000198440,아벤느 이드랑스 딥모이스트 로션 200ml 더블 기획,스킨케어,스킨/토너,스킨/토너,아벤느,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0019/A00000019844004ko.jpg?l=ko,"40,500",966,4.8,아벤느 이드랑스 딥 모이스트 로션 200ml 본품 2개 / 총 400ml,모든 피부 타입 / 건성 피부 / 수분 부족형 지성 피부,"개봉전 3년, 개봉 후 1년이내 사용권장","아침 저녁으로 세안 후, 화장솜에 적당량을 덜어 피부결을 따라 닦아내듯 발라주세요. 진한 촉촉함이 필요할 땐 손바닥에 덜어 여러 번 두드리듯 흡수시키며 발라주어도 좋습니다.","아쿠아(아벤느 온천수)
글리세린
메틸글루세스-20
펜틸렌글라이콜
1,2-헥산다이올
베타인
피이지-40하이드로제네이티드캐스터오일
트레할로스
소듐시트레이트
다이소듐이디티에이
잔탄검
향료
시트릭애씨드
하이드록시에틸셀룰로오스
정제수
아이소세틸스테아로일스테아레이트
트라이에틸헥사노인
소듐하이알루로네이트
스쿠알란
피토스테롤",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000198440&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=13,피부타입,피부고민,자극도,50%,50%,0%,62%,35%,4%,69%,31%,0%
A000000157178,라운드랩 자작나무 수분 토너 1+1 기획 (300ml+300ml),스킨케어,스킨/토너,스킨/토너,라운드랩,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015717814ko.jpg?l=ko,"23,800",2720,4.8,300ml*2ea,모든 피부용,"제조일로부터 36개월, 개봉 후 12개월 이내 사용","아침,저녁 세안 후 스킨 케어 단계에서 적당량을 덜어 피부 위에 펴 바르고 가볍게 두드리듯 흡수시켜줍니다.","정제수, 글리세린, 프로판다이올, 글리세레스-26, 펜틸렌글라이콜, 자작나무수액(10,000ppm), 1,2-헥산다이올, 아이리쉬모스추출물, 사탕수수추출물, 소듐하이알루로네이트, 하이알루로닉애씨드, 판테놀, 트로메타민, 다이포타슘글리시리제이트, 글리세릴카프릴레이트, 글리세릴글루코사이드, 부틸렌글라이콜, 아스코빅애씨드, 카보머, 잔탄검, 다이소듐이디티에이",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000157178&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=14,피부타입,피부고민,자극도,37%,55%,9%,64%,36%,1%,79%,21%,1%
A000000147339,[2023어워즈] 아누아 어성초 77 토너 350ml,스킨케어,스킨/토너,스킨/토너,아누아,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0014/A00000014733910ko.jpg?l=ko,"22,800",9216,4.7,350ml,모든 피부용,제조일자로 부터 30개월 / 개봉 후 12개월,세안 후에 적당량을 덜어 피부에 두드려 흡수시켜 줍니다.,"약모밀추출물, 정제수, 1,2-헥산다이올, 글리세린, 베타인, 병풀추출물, 체이스트트리추출물, 우엉뿌리추출물, 진흙버섯추출물, 쇠비름추출물, 포도추출물, 사과추출물, 사탕수수추출물, 판테놀, 마트리카리아꽃추출물, 소듐하이알루로네이트, 하이드록시프로필트라이모늄하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트, 하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 포타슘하이알루로네이트, 메틸프로판다이올, 부틸렌글라이콜, 아이소펜틸다이올, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 다이소듐이디티에이",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000147339&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=15,피부타입,피부고민,자극도,19%,62%,19%,18%,82%,1%,76%,22%,2%
A000000182583,[엔하이픈/제이크Pick]닥터자르트 시카페어 인텐시브 수딩 리페어 트리트먼트 로션 기획(150ml+30ml*2ea),스킨케어,스킨/토너,스킨/토너,닥터자르트,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0018/A00000018258307ko.jpg?l=ko,"38,000",368,4.9,본품 150mL+30mL*2ea,모든피부용도,"제조일로부터 36개월이내, 개봉후 12개월이내","1) 아침, 저녁으로 깨끗한 피부에 손이나 화장품을 사용하여 고르게 펴 발라 줍니다.
2) 완전히 흡수될 때 까지 피부에 부드럽게 두드려줍니다.","정제수, 프로판다이올, 다이프로필렌글라이콜, 1,2-헥산다이올, 글리세린, 메틸프로판다이올, 베타인, 알란토인, 판테놀, 에틸헥실글리세린, 소듐하이알루로네이트, 부틸렌글라이콜, 폴리글리세릴-4올리에이트, 병풀잎추출물, 소듐스테아로일글루타메이트, 아시아티코사이드, 마데카식애씨드, 아시아틱애씨드, 팔미토일트라이펩타이드-8, 잔탄검, 소듐서팩틴, 아이소펜틸다이올, 덱스트란, 토코페롤",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000182583&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=16,피부타입,피부고민,자극도,25%,61%,14%,29%,71%,0%,80%,20%,0%
